"category","favorites","image_count","name","price_raw","product_reviews","seller_name","seller_rating","seller_reviews","tags","url"
,"951","10","Handwoven Rattan Crossbody Bag, Braided Bali Purse","$34.99","2060","SandraBoutiqueIN","4.84","2100",,"https://www.etsy.com/listing/1696303113/brown-rattan-bali-bag-shoulder-bag?click_key=EujdiG4SwyiDgHK9N1Z31yyZC194%3ALTeab77f07ac7a40eb24221b28beb92ea281f29d50&click_sum=334d39a6&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese%2Bhandmade&ref=sc_gallery-1-2&pro=1&frs=1&bes=1&sts=1"
,"0","19","Seashell Feather Wall Decor, Tribal Boho Art, Balinese Handmade Accent (21.6"")","Now$242.99","161","ArasBali","4.91","161",,"https://www.etsy.com/listing/4490069984/seashell-feather-wall-decor-tribal-boho?click_key=EujdiG4SwyiDgHK9N1Z31yyZC194%3ALTe244c8b1982c0237cc691a8f47e090a540f2e169&click_sum=80436796&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese%2Bhandmade&ref=sc_gallery-1-1&pro=1&local_signal_search=1"
,"951","10","Handwoven Rattan Crossbody Bag, Braided Bali Purse","$34.99","2060","SandraBoutiqueIN","4.84","2100",,"https://www.etsy.com/listing/1696303113/brown-rattan-bali-bag-shoulder-bag?click_key=e83b53c3-6324-4d07-b6ef-faff50fed9ad%3ALTc89efcf3db405e16493e0a11f357cb416cc00d21&click_sum=e41504ca&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese%2Bhandmade&ref=sr_gallery-1-1&organic_search_click=1&pro=1&frs=1&bes=1&sts=1&content_source=e83b53c3-6324-4d07-b6ef-faff50fed9ad%253ALTc89efcf3db405e16493e0a11f357cb416cc00d21"
,"3","4","Balinese Paintings on Canvas in the Traditional Balinese Painting Style","Now$275.00","1025","byevansmith","4.91","1000",,"https://www.etsy.com/listing/4477858750/balinese-paintings-on-canvas-in-the?click_key=EuGfLzYpEghi1lMBeuCjad-3bUe3%3ALTc8cfe8a57e9957bccfcc6aaafd204bb68c386481&click_sum=ee2414c2&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese&ref=sc_gallery-1-1&frs=1"
,"91","10","Bali Incense Sticks, Handmade Organic Balinese Incense from Indonesia for Everyday Use, Ubud Bali Vibes Indonesia, Natural Gift from Bali","Now$11.20","5202","EverestTrader","4.89","5200",,"https://www.etsy.com/listing/1860149245/bali-incense-sticks-handmade-organic?click_key=EuGfLzYpEghi1lMBeuCjad-3bUe3%3ALT91790c7a7a775682c5fca8956a23c5031751a107&click_sum=6f954f09&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese&ref=sc_gallery-1-2&pro=1&sts=1"
,"647","3","Bali Envelope Rattan Clutch, Cellphone Bag, Woman purse, Wicker Bag, Straw Bag, Ata Vine Handbag, Handmade in Bali","$89.00","8544","GanapatiCraftsCo","4.96","8500",,"https://www.etsy.com/listing/1876874359/bali-envelope-rattan-clutch-cellphone?click_key=e83b53c3-6324-4d07-b6ef-faff50fed9ad%3ALT729ebeb80da33e204b8fb260b957be23b3fa5515&click_sum=19d61e47&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese%2Bhandmade&ref=sr_gallery-1-2&organic_search_click=1&frs=1&content_source=e83b53c3-6324-4d07-b6ef-faff50fed9ad%253ALT729ebeb80da33e204b8fb260b957be23b3fa5515"
,"49","11","Handwoven Jute Leather Crossbody Bag | Boho Summer Top Handle Handbag","Now$144.75","27","LineaLoomHome","4.4","27",,"https://www.etsy.com/listing/4476132753/handwoven-jute-leather-crossbody-bag?click_key=EujdiG4SwyiDgHK9N1Z31yyZC194%3ALTd26d437d58dbd0a54232cb60562edba2c8761923&click_sum=0fe93715&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese%2Bhandmade&ref=sc_gallery-1-3&pro=1&frs=1"
,"1194","8","Large Balinese Lotus Wall Art, Brown Carved Wood Art 76” Boho King Bed Headboard, Teak Wood Wall Hanging, Home Decor Statement Art Panel","$531.00","209","SiamSawadeeDecor","4.79","209",,"https://www.etsy.com/listing/1828073153/large-balinese-lotus-wall-art-brown?click_key=b2907c73-dddf-4d02-a981-5e57057dbf46%3ALT1d8bf5f9cd4ed682623dd50821ee1da7d03186b3&click_sum=e6437232&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese&ref=sr_gallery-1-1&organic_search_click=1&pro=1&pop=1&sts=1&content_source=b2907c73-dddf-4d02-a981-5e57057dbf46%253ALT1d8bf5f9cd4ed682623dd50821ee1da7d03186b3"
,"91","10","Bali Incense Sticks, Handmade Organic Balinese Incense from Indonesia for Everyday Use, Ubud Bali Vibes Indonesia, Natural Gift from Bali","Now$11.20","5202","EverestTrader","4.89","5200",,"https://www.etsy.com/listing/1860149245/bali-incense-sticks-handmade-organic?click_key=b2907c73-dddf-4d02-a981-5e57057dbf46%3ALT8ae825c3a4dbd75188f2abe9c0b15e7ce04b4fad&click_sum=49b89bb8&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese&ref=sr_gallery-1-2&organic_search_click=1&pro=1&sts=1&content_source=b2907c73-dddf-4d02-a981-5e57057dbf46%253ALT8ae825c3a4dbd75188f2abe9c0b15e7ce04b4fad"
,"608","10","Crochet Raffia Purse - Natural Crossbody Handbag, Handwoven Summer Straw Bag, Wicker Handmade Purse Bag, Chic & Stylish Accessory Gifts","Now$120.95+","85","HNFhandmadeknitwear","4.82","85",,"https://www.etsy.com/listing/1739921521/crochet-raffia-purse-natural-crossbody?click_key=EujdiG4SwyiDgHK9N1Z31yyZC194%3ALT7cf6d4eda56201bd4b8f123cd4f22aff8200097d&click_sum=8d8ff774&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese%2Bhandmade&ref=sc_gallery-1-4&pro=1&frs=1&etp=1"
,"55","8","Balinese Garuda Brass Statue with Deepam Lamps - Vishnu's Vahana","$229.00","58","LotusSculptureShop","4.96","58",,"https://www.etsy.com/listing/1706596965/balinese-garuda-brass-statue-with-deepam?click_key=EuGfLzYpEghi1lMBeuCjad-3bUe3%3ALT83550b2567fe7193bd66f35fc79eaf6b3583f93c&click_sum=c4837342&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese&ref=sc_gallery-1-3&frs=1&cns=1"
,"1194","8","Large Balinese Lotus Wall Art, Brown Carved Wood Art 76” Boho King Bed Headboard, Teak Wood Wall Hanging, Home Decor Statement Art Panel","$531.00","209","SiamSawadeeDecor","4.79","209",,"https://www.etsy.com/listing/1828073153/large-balinese-lotus-wall-art-brown?click_key=EuGfLzYpEghi1lMBeuCjad-3bUe3%3ALTdefed79a81a54ae9e139e8fd17b5f9815e2aa675&click_sum=fc624370&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese&ref=sc_gallery-1-4&pro=1&pop=1&sts=1"
,"3","4","Balinese Paintings on Canvas in the Traditional Balinese Painting Style","Now$275.00","1025","byevansmith","4.91","1000",,"https://www.etsy.com/listing/4477858750/balinese-paintings-on-canvas-in-the?click_key=Eu4FCRFXLDf35-QaTKnDHr4ppeb9%3ALTcb751b153da1345df24a0989fa009c6623c2954d&click_sum=46f7a795&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese+decor&ref=sc_gallery-1-1&frs=1"
,"55","8","Balinese Garuda Brass Statue with Deepam Lamps - Vishnu's Vahana","$229.00","58","LotusSculptureShop","4.96","58",,"https://www.etsy.com/listing/1706596965/balinese-garuda-brass-statue-with-deepam?click_key=Eu4FCRFXLDf35-QaTKnDHr4ppeb9%3ALT5b09ca2d5fcba95c19c7957a9f434e2fb87cc14b&click_sum=cffa18cb&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=balinese+decor&ref=sc_gallery-1-2&frs=1&cns=1"
